"Country","True","Predicted","Error"
"Angola",46.7948972727273,2.0681394235309,-44.7267578491964
"Benin",88.7449972727273,-0.572752389814342,-89.3177496625416
"Burkina Faso",146.460450909091,5.53827756492053,-140.92217334417
"Burundi",50.7062390909091,0.470277124120519,-50.2359619667886
"Cameroon",55.3716045454545,6.22192767495214,-49.1496768705024
"Central African Republic",111.27141,1.9080014762983,-109.363408523702
"Chad",93.2609254545455,3.17174555806393,-90.0891798964816
"Comoros",8.03787363636364,2.39586133291,-5.64201230345365
"Congo",40.6652818181818,4.41556837641955,-36.2497134417623
"Cote d'Ivoire",68.5696827272727,2.36542433402775,-66.204258393245
"Democratic Republic of Congo",91.7536081818182,6.11238801103299,-85.6412201707852
"Equatorial Guinea",50.4618163636364,0.349567802802805,-50.1122485608336
"Ethiopia",24.5795009090909,3.26744930674769,-21.3120516023432
"Gabon",19.8654472727273,2.72779472357964,-17.1376525491477
"Gambia",28.7927127272727,2.50958207385055,-26.2831306534222
"Ghana",51.5431636363636,3.72238822191146,-47.8207754144521
"Guinea",110.928887272727,5.90567939613873,-105.023207876588
"Guinea-Bissau",49.4164690909091,1.47480216502722,-47.9416669258819
"Kenya",22.4795627272727,1.87400263080224,-20.6055600964705
"Liberia",77.3944054545454,5.52004998179486,-71.8743554727506
"Madagascar",15.7652054545455,1.14872998571635,-14.6164754688291
"Malawi",52.3618818181818,2.90856225613811,-49.4533195620437
"Mali",109.374721818182,5.86129097544279,-103.513430842739
"Mauritania",18.0751427272727,4.18910212040116,-13.8860406068715
"Mozambique",85.8594545454545,6.78307062242383,-79.0763839230307
"Namibia",2.34245454545455,-4.04930711746866,-6.39176166292321
"Niger",161.039700909091,6.30687686800117,-154.73282404109
"Nigeria",98.0976936363636,4.03858476368091,-94.0591088726827
"Rwanda",26.6605918181818,5.88538990212007,-20.7752019160617
"Senegal",13.1320045454545,0.508428711624544,-12.62357583383
"Sierra Leone",166.325917272727,2.59061962331508,-163.735297649412
"Somalia",11.8972927272727,-4.12168817910589,-16.0189809063786
"Sudan",9.92592909090909,2.41220607932474,-7.51372301158435
"Tanzania",44.4046809090909,4.02391248506226,-40.3807684240286
"Togo",58.09746,3.72356919940264,-54.3738908005974
"Uganda",54.4808036363636,4.05152491542874,-50.4292787209349
"Zambia",46.6876818181818,1.19838105828777,-45.489300759894
"Zimbabwe",20.2927781818182,-2.68997123965136,-22.9827494214696
